"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SPTB",0.146087087095639,-1.75914826493036,2.69145276287591,0.00723213278186484,0.0135245600168928,-4.15533185635538
"CLK1",0.113808156363236,4.73192032187501,2.69064219076188,0.00724959800930053,0.0135560577209867,-4.15749583319042
"FAM124B",0.1584456454338,-2.36646138671497,2.69006384396237,0.0072620826890657,0.0135782376690185,-4.15903944751285
"ZCCHC2",0.114927925671452,1.95483519747615,2.68946030190999,0.00727513185485197,0.013601469164927,-4.16064995948711
"JMJD7-PLA2G4B",-0.102273796730911,1.29236253098313,-2.68780622729914,0.00731100263384799,0.0136637702493557,-4.16506192212269
"CLEC2B",0.253510042105771,1.98211742095173,2.68777917170085,0.00731159068873276,0.0136637702493557,-4.16513406608895
"HAGHL",0.140227745905095,3.08826766934725,2.68774837907903,0.00731226001973846,0.0136638492264901,-4.1652161739869
"C11orf65",0.148015346151501,-0.882303946124109,2.6874302331368,0.00731917869700413,0.0136756048540319,-4.16606444937119
"MYLK3",0.102808092099435,-2.52357808034702,2.68712208376186,0.00732588558752872,0.0136857893477581,-4.16688597645285
"TSPAN33",0.173805662525428,-0.728785147336253,2.68677598919758,0.00733342494118388,0.0136986994829316,-4.16780855479746
"VPS37C",0.105684920830062,4.04046248563946,2.68616810858709,0.00734668394214846,0.0137208477921621,-4.16942868816283
"MIR6781",0.285468309639616,-1.01557697509971,2.6861342537853,0.0073474230108155,0.0137208477921621,-4.16951890791218
"SH2D6",0.114049697412085,-2.30638860542521,2.68611696319133,0.00734780049962091,0.0137208477921621,-4.16956498522847
"HRH1",-0.220212713816715,2.74681589317913,-2.68588042336475,0.00735296639479267,0.0137293177157268,-4.17019530555356
"PSMD2",0.104616033195296,7.9696692850086,2.68553372669662,0.00736054394920158,0.0137422888058523,-4.17111906783168
"GALNT6",0.224835600510408,3.32159385796721,2.68427742140834,0.00738806111748328,0.0137901192179168,-4.17446546870044
"RORB",0.122213550381234,-2.49727241994632,2.68335989787016,0.00740821622205998,0.0138253709728235,-4.17690848658914
"MIR186",0.257675945227889,1.45531169638504,2.68266405458491,0.00742353462871728,0.0138527720784233,-4.17876070490605
"TPI1P3",-0.110141308164593,-0.192049529194876,-2.68132525976491,0.00745308713042451,0.0139055371668765,-4.18232302053925
"ARHGAP4",0.22044623474541,-0.201034294730578,2.68036424603942,0.00747436561220246,0.0139416561111018,-4.18487904124273
"CPEB3",0.10039135908685,-0.408758282025111,2.67894102233615,0.0075059784526086,0.0139982258201251,-4.18866274845212
"CRYGS",0.156235393984429,0.298086038323326,2.67871269896922,0.0075110611644524,0.0140065060139853,-4.18926957246643
"DNAJC10",0.117939443059115,4.03046694317253,2.67771868196863,0.00753322503820766,0.0140466347409332,-4.1919108164538
"MIR1185-2",0.128200427542573,-2.76870656499675,2.67731388905542,0.00754226763380934,0.014062292439523,-4.19298613166358
"AGXT2",0.116248568877122,-3.09463203732196,2.67632826215724,0.00756432614683142,0.0140998004054283,-4.19560373752634
"MIR4514",0.15123354466744,-2.9295519413649,2.67629383256223,0.00756509773356842,0.0141000324706574,-4.19569515769918
"IL5",0.108071536209995,-2.89158778089865,2.67603543770124,0.00757089076461089,0.0141096227985692,-4.19638123108473
"TSNAX-DISC1",0.166653079525858,-1.05950016505654,2.67585479994158,0.00757494290131518,0.0141159673154586,-4.19686081004062
"TSR1",-0.101817733447356,5.14067588412663,-2.67576537214335,0.0075769497011477,0.0141177906579478,-4.19709822195619
"CD37",-0.164543182423511,0.104427208271021,-2.67530101741011,0.00758737770584633,0.0141355130138844,-4.19833085993234
"TCF7L1-IT1",-0.122494146310471,-2.73608066995274,-2.67372868435027,0.00762278331008019,0.0141966195150981,-4.20250308013191
"CADM3",0.239829907144613,-1.66758120191227,2.67355219318339,0.00762676676122822,0.0142003971398071,-4.20297125235692
"ARID3C",0.126311130673587,-2.27412042153049,2.67344149710065,0.00762926615388233,0.0142038371063821,-4.20326487661138
"FKBP10",0.211102609190053,7.63832518717411,2.6733128206901,0.00763217244620523,0.0142080339686298,-4.20360617909157
"SDHA",-0.1117911708062,5.53141098413585,-2.67309026815636,0.00763720137579222,0.0142161812727244,-4.20419644122439
"GPRC5A",0.248772283008948,4.3000611124828,2.67290098163448,0.00764148094748842,0.0142217176157988,-4.20469843587363
"MIR4688",0.181333392562164,-2.62052005086962,2.67250310891953,0.00765048345534011,0.0142372563405808,-4.20575349433781
"HSD3B1",0.137290465570083,-3.07809201835524,2.67234221970114,0.00765412653430864,0.0142428195715273,-4.20618008814982
"RIMKLB",-0.167560740509757,2.8914788866672,-2.67172437761998,0.0076681310566811,0.0142662017266462,-4.20781804594557
"HIC1",-0.160536178365328,2.91424145786474,-2.67125943174847,0.0076786850687599,0.0142836390343417,-4.20905041520508
"TESK1",0.115835492303586,4.30669701601499,2.67116032132452,0.00768093650533676,0.0142866074648987,-4.20931308648536
"RNU5B-1",0.256066818304518,-1.49287407057749,2.67098941706799,0.00768482023448035,0.0142926112076926,-4.20976600961066
"PSME2",0.103154454206114,6.40450550137323,2.66504155288965,0.00782108591350869,0.0145336399501411,-4.22551098371642
"XPNPEP2",-0.1451036626088,-2.51465092180604,-2.6649863011842,0.00782236183003664,0.0145347714058581,-4.22565708182981
"PERM1",0.13812836940869,-1.96370299511044,2.66400539115945,0.00784504489899743,0.0145741933893818,-4.22825033455223
"SLC30A10",0.143876388900219,-2.7849114845505,2.66398208320946,0.00784558460107613,0.0145741933893818,-4.228311942827
"AFAP1L1",-0.180608669078555,1.93968433832243,-2.66385431046917,0.00784854380636282,0.0145784476635109,-4.22864966613665
"SNCA",0.30522913625523,1.15585883650041,2.66307722784018,0.00786656254488434,0.0146081811703622,-4.23070327295785
"RBBP8NL",0.145713302805826,-2.86167818798617,2.66248785071045,0.00788025356769792,0.0146323583502461,-4.2322604339641
"MIR6835",-0.24330202718696,1.45751369267609,-2.66232085054148,0.00788413680724089,0.0146370742975018,-4.23270159416849
"MIRLET7A2",0.243774063205048,-1.60539509632921,2.66212401068773,0.00788871611027003,0.0146430806749113,-4.23322154609555
"MIR6768",-0.207663916057558,-2.40329902441223,-2.66077588070118,0.00792014332980156,0.0146951569445143,-4.23678160887725
"SYT1",0.218187341111397,1.52037345232311,2.66051246286549,0.007926297150034,0.0147040707389103,-4.23747701962773
"C1orf115",-0.211901116970622,0.44043748146737,-2.65940904600424,0.00795212119232582,0.0147494655073868,-4.24038925070507
"MIR543",0.118834081886876,-3.04560460795988,2.6593619753414,0.00795322449650073,0.0147502563434123,-4.24051345708744
"ANXA8L1",0.271656771929729,-0.909886775958723,2.65792002578404,0.00798708940046797,0.0148092816572666,-4.24431731044354
"IGKC",0.12602165940848,-2.8171408650459,2.65762615723913,0.00799400689178515,0.0148208466069938,-4.24509228417761
"KRT19",-0.37148425275607,3.98394445142294,-2.65687627939665,0.00801168292489966,0.0148510906791632,-4.24706943731106
"RFX3",-0.116012758618799,0.487071133411171,-2.65591342551356,0.00803443059475709,0.014889457616921,-4.24960732349127
"SGSM3",0.100978212563615,4.61914946031748,2.65577496835173,0.00803770643915172,0.0148942616981985,-4.24997219369497
"PCBD1",0.114454307053053,5.60721306384853,2.65567115726547,0.00804016335597775,0.0148975475788057,-4.25024575028237
"SYBU",0.172402029730174,-0.0989004526585404,2.65544608249731,0.00804549255646972,0.0149061544771257,-4.25083881725005
"TNFSF13",0.135134822892548,1.09500702738592,2.65541172076676,0.00804630643384704,0.0149063949322842,-4.2509293552784
"STEAP2",0.177634402437076,0.516280913319822,2.65471029218412,0.00806293631593641,0.0149359332078768,-4.25277726235835
"CCDC50",0.106296191996123,5.14773920577321,2.65381844102592,0.00808412534685993,0.0149726384452255,-4.25512614078324
"CCDC82",0.120243141204842,3.07634823319436,2.65311791298011,0.00810080382394759,0.0150022535546335,-4.25697058364561
"SOD1",-0.112127290355063,7.93566449137894,-2.65234305570905,0.00811928789011685,0.0150339295654016,-4.25901017102844
"LANCL3",0.102426710771869,-2.55225548402567,2.65116908054167,0.00814736487703046,0.0150820729479648,-4.26209920138639
"APBB3",0.135943160046905,2.93160361322482,2.65103514908479,0.00815057352877419,0.015085624491206,-4.26245152376749
"LINC00677",0.123326137043812,-2.86948193765972,2.65103120379343,0.00815066806493656,0.015085624491206,-4.26246190205223
"FZD10",0.138149854274351,-2.54366259086058,2.65059420556147,0.00816114540170516,0.0151037335062982,-4.26361135332429
"MIR6745",0.133662450012934,-2.86096944007109,2.65021555137757,0.00817023365984672,0.0151179850074779,-4.26460718916373
"CLCN6",-0.125663396128195,3.10329328072037,-2.6493506116096,0.00819102752443115,0.0151538877362332,-4.26688139815929
"CMTM2",0.115750013974483,-2.73731172455154,2.64927894005538,0.00819275269388347,0.0151557926139503,-4.26706981322841
"PTK6",0.218938740266531,-1.09266304600232,2.64857981733122,0.00820959801033964,0.0151843765932689,-4.26890745106875
"VAMP8",0.245057496762299,2.18207463404042,2.64792302954667,0.0082254515417793,0.0152124078335912,-4.27063337618769
"NAP1L3",0.198289544411933,0.152868011780228,2.64765193505624,0.00823200321127439,0.0152232326210361,-4.27134564272101
"MIR4273",0.125322801231878,-2.02321521767489,2.64613443521995,0.00826876378515916,0.0152886179786693,-4.27533135389434
"ACOT8",0.101586219303104,4.42562291684463,2.64443732840204,0.00831004942461101,0.0153610431763042,-4.27978613325795
"SOX4",0.175711772691466,4.62754353052424,2.64356947426673,0.00833123306683574,0.0153975885094445,-4.2820630967423
"RNU5F-1",0.226942495515437,-1.70156563368716,2.64304604370026,0.0083440329760487,0.0154199371171318,-4.28343604986507
"KRT5",0.33038014076856,-1.59003092822892,2.6428873908579,0.00834791613178826,0.0154244969483309,-4.28385214172854
"MIR3125",0.219206713131938,-1.85356668629187,2.64267137335827,0.00835320593650755,0.0154329622991775,-4.28441864176492
"TLR8-AS1",0.105915406617194,-3.13076775355993,2.64229173445136,0.00836250975486584,0.0154488416751612,-4.28541412385648
"SNORD62A",-0.253583722002429,-0.879223860458254,-2.6418147747715,0.0083742117730032,0.0154678371224667,-4.28666459875698
